Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
CN gain (0.2 <= CN < 0.6);DNAH6;TCGA-4Z-AA80;-0,02222557;0
CN gain (0.2 <= CN < 0.6);FOXQ1;TCGA-4Z-AA80;-0,01160921;0
CN gain (0.2 <= CN < 0.6);CDKN2A;TCGA-4Z-AA7R;-2,538941e-12;0
CN gain (0.2 <= CN < 0.6);ERBB3;TCGA-2F-A9KW;-0,03119301;0
CN gain (0.2 <= CN < 0.6);EP300;TCGA-2F-A9KR;-3,781069e-11;0
CN gain (0.2 <= CN < 0.6);FAT1;TCGA-2F-A9KO;-0,000116499;0
CN gain (0.2 <= CN < 0.6);MYH9;BRCA-METABRIC-S1-MB-7287;-0,06053351;0
CN gain (0.2 <= CN < 0.6);ERBB2;BRCA-METABRIC-S1-MB-7279;-0,002898264;0
CN gain (0.2 <= CN < 0.6);TP53;BRCA-METABRIC-S1-MB-7263;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7238;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7196;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);MAP3K1;BRCA-METABRIC-S1-MB-7185;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7182;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7173;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7144;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);MAP3K1;BRCA-METABRIC-S1-MB-7142;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7073;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7046;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7035;-4,567e-13;0
